User name,Event time,Event name,Source IP address,Error code,Resources,Event type,Event category,Hour_of_Day,Time_of_Day_Bucket,Is_Root_Account,Is_High_Risk_Action,Is_Console_Login,Is_Security_Error,Risk_Score,Risk_Level,Risk_Sort
CLOUDWATCH_LOGS_DELIVERY_SESSION,2026-03-28 23:43:30+00:00,CreateLogStream,cloudtrail.amazonaws.com,,[],AwsApiCall,Management,23,Outside-Hours,False,False,False,False,2,Low,4
CLOUDWATCH_LOGS_DELIVERY_SESSION,2026-03-28 23:40:30+00:00,CreateLogStream,cloudtrail.amazonaws.com,,[],AwsApiCall,Management,23,Outside-Hours,False,False,False,False,2,Low,4
CloudTrail,2026-03-28 23:36:11+00:00,CreateLogStream,cloudtrail.amazonaws.com,,[],AwsApiCall,Management,23,Outside-Hours,False,False,False,False,2,Low,4
root,2026-03-28 23:36:11+00:00,UpdateTrail,99.237.32.xxx,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""SOC-cloudtrail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:xxxxxxxxxxxx:trail/SOC-cloudtrail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-xxxxxxxxxxxx-525036df""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::xxxxxxxxxxxx:role/service-role/CloudTrail-Logs-Role""},{""resourceType"":""AWS::Logs::LogGroup"",""resourceName"":""arn:aws:logs:us-east-1:xxxxxxxxxxxx:log-group:CloudTrail-Logs:*""}]",AwsApiCall,Management,23,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-28 23:36:09+00:00,UpdateTrail,99.237.32.xxx,InvalidCloudWatchLogsRoleArnException,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:xxxxxxxxxxxx:trail/SOC-cloudtrail""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::xxxxxxxxxxxx:role/service-role/CloudTrail-Logs-Role""},{""resourceType"":""AWS::Logs::LogGroup"",""resourceName"":""arn:aws:logs:us-east-1:xxxxxxxxxxxx:log-group:CloudTrail-Logs:*""}]",AwsApiCall,Management,23,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-28 23:36:07+00:00,UpdateTrail,99.237.32.xxx,InvalidCloudWatchLogsRoleArnException,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:xxxxxxxxxxxx:trail/SOC-cloudtrail""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::xxxxxxxxxxxx:role/service-role/CloudTrail-Logs-Role""},{""resourceType"":""AWS::Logs::LogGroup"",""resourceName"":""arn:aws:logs:us-east-1:xxxxxxxxxxxx:log-group:CloudTrail-Logs:*""}]",AwsApiCall,Management,23,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-28 23:36:06+00:00,UpdateTrail,99.237.32.xxx,InvalidCloudWatchLogsRoleArnException,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:xxxxxxxxxxxx:trail/SOC-cloudtrail""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::xxxxxxxxxxxx:role/service-role/CloudTrail-Logs-Role""},{""resourceType"":""AWS::Logs::LogGroup"",""resourceName"":""arn:aws:logs:us-east-1:xxxxxxxxxxxx:log-group:CloudTrail-Logs:*""}]",AwsApiCall,Management,23,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-28 23:36:05+00:00,UpdateTrail,99.237.32.xxx,InvalidCloudWatchLogsRoleArnException,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:xxxxxxxxxxxx:trail/SOC-cloudtrail""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::xxxxxxxxxxxx:role/service-role/CloudTrail-Logs-Role""},{""resourceType"":""AWS::Logs::LogGroup"",""resourceName"":""arn:aws:logs:us-east-1:xxxxxxxxxxxx:log-group:CloudTrail-Logs:*""}]",AwsApiCall,Management,23,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-28 23:36:03+00:00,UpdateTrail,99.237.32.xxx,InvalidCloudWatchLogsRoleArnException,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:xxxxxxxxxxxx:trail/SOC-cloudtrail""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::xxxxxxxxxxxx:role/service-role/CloudTrail-Logs-Role""},{""resourceType"":""AWS::Logs::LogGroup"",""resourceName"":""arn:aws:logs:us-east-1:xxxxxxxxxxxx:log-group:CloudTrail-Logs:*""}]",AwsApiCall,Management,23,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-28 23:36:02+00:00,UpdateTrail,99.237.32.xxx,InvalidCloudWatchLogsRoleArnException,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:xxxxxxxxxxxx:trail/SOC-cloudtrail""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::xxxxxxxxxxxx:role/service-role/CloudTrail-Logs-Role""},{""resourceType"":""AWS::Logs::LogGroup"",""resourceName"":""arn:aws:logs:us-east-1:xxxxxxxxxxxx:log-group:CloudTrail-Logs:*""}]",AwsApiCall,Management,23,Outside-Hours,True,False,False,False,7,Medium,3
